Country,Latitude,Longitude,Economic_status,Waste_generation_rate_kg/person/day,,%_Plastic_in_waste_stream,%_littered_waste,Waste_generation_kg_day,Plastic_waste_generation_kg_day,Inadequately_managed_plastic_waste_kg_day,Plastic_waste_littered_kg_day,Mismanaged_plastic_waste_kg_person_day,Mismanaged_plastic_waste_2010_tonnes
Syria,35,39,LMI,1,13,65,2,4962136,642597,419763,12852,0,157904
Taiwan,24,121,HIC,2,12,0,2,46644291,5573993,13776,111480,0,45718
Tanzania,-6,35,LI,0,9,84,2,1739061,155646,129999,3113,0,48586
Thailand8,15,102,UMI,1,12,73,2,31252130,3734630,2741031,74693,0,1027739
The Gambia,13,-15,LI,1,9,84,2,701833,62814,52485,1256,0,19616
Togo,9,1,LI,1,11,84,2,1035654,113404,94721,2268,0,35401
Tokelau,-9,-172,LMI,1,13,82,2,1089,141,116,3,0,43
Tonga,-21,-175,LMI,4,6,78,2,381655,22708,17694,454,0,6624
Trinidad and Tobago,11,-61,HIC,14,25,3,2,19561435,4880578,160103,97612,0,94066
Tunisia,34,10,UMI,1,12,60,2,8729968,1043231,621077,20865,0,234309
Turkey,39,35,UMI,2,12,16,2,60255866,7200576,1187323,144012,0,485937
Turks and Caicos Islands,22,-72,HIC,2,12,0,2,47397,5664,22,113,0,49
Tuvalu,-7,178,UMI,1,12,73,2,13876,1658,1218,33,0,457
Ukraine,48,31,LMI,1,13,49,2,5382111,696983,338841,13940,0,128765
United Arab Emirates,23,54,HIC,2,12,0,2,3350381,400371,256,8007,0,3016
United Kingdom,55,-3,HIC,2,12,0,2,77433411,9253293,0,185066,0,67549
United States,37,-96,HIC,3,13,0,2,291346588,37729383,0,754588,0,275424
Uruguay,-34,-55,HIC,2,12,8,2,5110554,610711,46861,12214,0,21562
USVI,18,-65,HIC,2,12,0,2,281860,33682,11,674,0,250
Vanuatu,-15,167,LMI,3,9,81,2,826071,73933,60104,1479,0,22478
Venezuela,6,-67,HIC,2,12,5,2,33799284,4039014,199585,80780,0,102333
Vietnam,39,-95,LMI,1,13,86,2,44128014,5714578,4909870,114292,0,1833819
Yemen,16,49,LMI,1,13,73,2,4778647,618835,451134,12377,0,169181
,,,,,,,,,,,,Total,31865274
,,,,,,,,,,,,,165965
