Year,Trade Flow,Reporter,exportLat,exportLong,Partner,importLat,importLong,Commodity,Qty Unit,Qty,Netweight (kg),Trade Value (US$)
2016,Import,USA,37.09024,-95.712891,Cayman Isds,19.3133,-81.2546,"Waste, parings and scrap, of plastics",Weight in kilograms,34810,34810,12711
2016,Import,USA,37.09024,-95.712891,Bangladesh,23.684994,90.356331,"Waste, parings and scrap, of plastics",Weight in kilograms,34314,34314,11500
2016,Export,USA,37.09024,-95.712891,Romania,45.943161,24.96676,"Waste, parings and scrap, of plastics",Weight in kilograms,34305,34305,25994
2016,Import,USA,37.09024,-95.712891,Guyana,4.860416,-58.93018,"Waste, parings and scrap, of plastics",Weight in kilograms,32257,32257,15346
2016,Export,USA,37.09024,-95.712891,Guyana,4.860416,-58.93018,"Waste, parings and scrap, of plastics",Weight in kilograms,32121,32121,47210
2016,Export,USA,37.09024,-95.712891,Samoa,-13.759029,-172.10463,"Waste, parings and scrap, of plastics",Weight in kilograms,28340,28340,104806
2016,Import,USA,37.09024,-95.712891,"China, Hong Kong SAR",22.3193039,114.169361,"Waste, parings and scrap, of plastics",Weight in kilograms,26034,26034,47759
2016,Export,USA,37.09024,-95.712891,Panama,8.537981,-80.782127,"Waste, parings and scrap, of plastics",Weight in kilograms,23750,23750,97238
2016,Export,USA,37.09024,-95.712891,Argentina,-38.416097,-63.616672,"Waste, parings and scrap, of plastics",Weight in kilograms,22909,22909,26401
2016,Import,USA,37.09024,-95.712891,Czechia,49.817492,15.472962,"Waste, parings and scrap, of plastics",Weight in kilograms,21937,21937,31550
2016,Export,USA,37.09024,-95.712891,Jamaica,18.109581,-77.297508,"Waste, parings and scrap, of plastics",Weight in kilograms,21102,21102,75418
2016,Re-Export,USA,37.09024,-95.712891,Rep. of Korea,36.12529,127.66382,"Waste, parings and scrap, of plastics",Weight in kilograms,20707,20707,17735
2016,Import,USA,37.09024,-95.712891,New Zealand,-40.900557,174.885971,"Waste, parings and scrap, of plastics",Weight in kilograms,20666,20666,33445
2016,Import,USA,37.09024,-95.712891,Norway,60.472024,8.468946,"Waste, parings and scrap, of plastics",Weight in kilograms,20209,20209,6498
2016,Export,USA,37.09024,-95.712891,Sri Lanka,7.873054,80.771797,"Waste, parings and scrap, of plastics",Weight in kilograms,20000,20000,3000
2016,Re-Export,USA,37.09024,-95.712891,Sri Lanka,7.873054,80.771797,"Waste, parings and scrap, of plastics",Weight in kilograms,20000,20000,3000
2016,Export,USA,37.09024,-95.712891,Portugal,39.399872,-8.224454,"Waste, parings and scrap, of plastics",Weight in kilograms,19051,19051,9492
2016,Export,USA,37.09024,-95.712891,Slovenia,46.151241,14.995463,"Waste, parings and scrap, of plastics",Weight in kilograms,19051,19051,3500
2016,Export,USA,37.09024,-95.712891,Morocco,31.791702,-7.09262,"Waste, parings and scrap, of plastics",No Quantity,0,18749,6935
2016,Export,USA,37.09024,-95.712891,Nepal,28.394857,84.124008,"Waste, parings and scrap, of plastics",Weight in kilograms,18398,18398,7909
2016,Export,USA,37.09024,-95.712891,Bulgaria,42.733883,25.48583,"Waste, parings and scrap, of plastics",Weight in kilograms,14828,14828,22591
2016,Export,USA,37.09024,-95.712891,New Zealand,-40.900557,174.885971,"Waste, parings and scrap, of plastics",Weight in kilograms,13432,13432,73827
2016,Re-Export,USA,37.09024,-95.712891,Netherlands,52.132633,5.291266,"Waste, parings and scrap, of plastics",Weight in kilograms,10862,10862,13898
2016,Export,USA,37.09024,-95.712891,Kuwait,29.31166,47.481766,"Waste, parings and scrap, of plastics",Weight in kilograms,10836,10836,41628
2016,Export,USA,37.09024,-95.712891,Poland,51.919438,19.145136,"Waste, parings and scrap, of plastics",No Quantity,0,10543,3900
