Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,exportLat,exportLong,Reporter ISO,Partner Code,Partner,importLat,importLong,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,4,0,2,Export,842,USA,37.09024,-95.712891,USA,410,Rep. of Korea,29.745424,-95.462645,KOR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,3769385,,,,3769385,,1778191,,,6
H5,2017,2017,2017,4,0,2,Export,842,USA,37.09024,-95.712891,USA,218,Ecuador,-1.831239,-78.183406,ECU,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,3752670,,,,3752670,,1272322,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,37.09024,-95.712891,USA,50,Bangladesh,23.684994,90.356331,BGD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,3737057,,,,3737057,,1113688,,,0
H4,2016,2016,2016,4,0,1,Import,842,USA,37.09024,-95.712891,USA,392,Japan,36.204824,138.252924,JPN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,3719877,,,,3719877,,7924798,,,6
H4,2016,2016,2016,4,0,1,Import,842,USA,37.09024,-95.712891,USA,56,Belgium,50.503887,4.469936,BEL,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,3534261,,,,3534261,,1908306,,,6
H4,2016,2016,2016,4,0,1,Import,842,USA,37.09024,-95.712891,USA,490,"Other Asia, nes",34.047863,100.6196553,,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,3478466,,,,3478466,,2631242,,,6
H4,2016,2016,2016,4,0,1,Import,842,USA,37.09024,-95.712891,USA,604,Peru,-9.189967,-75.015152,PER,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,3471441,,,,3471441,,2295380,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,37.09024,-95.712891,USA,276,Germany,51.165691,10.451526,DEU,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,3458584,,,,3458584,,1469040,,,0
H5,2018,2018,2018,4,0,1,Import,842,USA,37.09024,-95.712891,USA,764,Thailand,15.870032,100.992541,THA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,3186650,,,,3186650,,2414014,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,37.09024,-95.712891,USA,170,Colombia,4.570868,-74.297333,COL,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,3126278,,,,3126278,,6327529,,,0
H5,2017,2017,2017,4,0,1,Import,842,USA,37.09024,-95.712891,USA,490,"Other Asia, nes",34.047863,100.6196553,,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,2960923,,,,2960923,,2222017,,,0
H4,2016,2016,2016,4,0,1,Import,842,USA,37.09024,-95.712891,USA,558,Nicaragua,12.865416,-85.207229,NIC,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,2932368,,,,2932368,,1799397,,,0
H5,2018,2018,2018,4,0,3,Re-Export,842,USA,37.09024,-95.712891,USA,458,Malaysia,4.210484,101.975766,MYS,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,2924500,,,,2924500,,299000,,,0
H4,2016,2016,2016,4,0,2,Export,842,USA,37.09024,-95.712891,USA,320,Guatemala,15.783471,-90.230759,GTM,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,2859298,,,,2859298,,2171809,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,37.09024,-95.712891,USA,56,Belgium,50.503887,4.469936,BEL,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,2832393,,,,2832393,,4448753,,,0
H4,2016,2016,2016,4,0,2,Export,842,USA,37.09024,-95.712891,USA,724,Spain,40.463667,-3.74922,ESP,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,2792137,,,,2792137,,2269687,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,37.09024,-95.712891,USA,586,Pakistan,30.375321,69.345116,PAK,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,2778647,,,,2778647,,906497,,,0
H4,2016,2016,2016,4,0,1,Import,842,USA,37.09024,-95.712891,USA,724,Spain,40.463667,-3.74922,ESP,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,2637633,,,,2637633,,2095161,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,37.09024,-95.712891,USA,320,Guatemala,15.783471,-90.230759,GTM,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,2606108,,,,2606108,,2124552,,,0
H4,2016,2016,2016,4,0,1,Import,842,USA,37.09024,-95.712891,USA,76,Brazil,-14.235004,-51.92528,BRA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,2594981,,,,2594981,,1969706,,,0
H5,2017,2017,2017,4,0,1,Import,842,USA,37.09024,-95.712891,USA,320,Guatemala,15.783471,-90.230759,GTM,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,2583487,,,,2583487,,1620729,,,0
H5,2018,2018,2018,4,0,1,Import,842,USA,37.09024,-95.712891,USA,620,Portugal,39.399872,-8.224454,PRT,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,2567668,,,,2567668,,1666461,,,0
H5,2018,2018,2018,4,0,1,Import,842,USA,37.09024,-95.712891,USA,604,Peru,-9.189967,-75.015152,PER,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,2536518,,,,2536518,,1907633,,,0
H5,2018,2018,2018,4,0,1,Import,842,USA,37.09024,-95.712891,USA,704,Viet Nam,14.058324,108.277199,VNM,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,2490937,,,,2490937,,1474037,,,0
